Stop_Code_LBSL,Bus_Stop_Code,Naptan_Atco,Location_Easting,Location_Northing,Heading,Stop_Area,Virtual_Bus_Stop
10303,56071,490009667S,558371,188491,167,YA02,0
10308,54143,490007974N,558325,188881,318,YH12,0
10309,74646,490014166R,558314,188834,156,YH12,0
1031,55951,490001014A,558297,175737,38,M401,0
10313,58587,490009306S,558291,189098,167,YH11,0
10316,50920,490000024A,558283,189345,348,YH10,0
10317,73411,490000024B,558273,189367,166,YH10,0
10318,54906,490004103N,558229,189755,351,YG03,0
10319,48960,490006928S,558201,189465,205,YH09,0
10320,55452,490006928N,558065,189518,20,YH09,0
10321,77849,490004103S,558007,189660,165,YG04,0
10324,55434,490012034N,557974,190128,9,YG02,0
10325,52834,490011183S,557945,189904,190,YG03,0
10327,77138,490012034S,557870,190136,183,YG02,0
10328,49402,490005353N,557866,190307,347,YG01,0
10330,75429,490009019E,557851,190708,89,Y510,0
10331,76183,490014940S,557748,190461,165,Y511,0
10333,53754,490009019W,557623,190696,268,Y510,0
10334,56904,490008134E,557601,190735,79,Y509,0
10337,56118,490008134W,557515,190722,259,Y509,0
10338,48643,490007597E,557470,190824,87,Y507,0
10340,74874,490010345E,557429,190825,88,Y506,0
10341,76593,490007597W,557428,190813,266,Y507,0
10342,75441,490009759E,557400,190868,67,Y505,0
10343,75778,490010345W,557393,190809,265,Y506,0
10345,57148,490009759W,557359,190857,246,Y505,0
10347,49767,490004905W,557339,190909,259,Y504,0
10351,74998,3700077,557316,179165,131,6Z14,0
10352,74860,490007596K,557312,181150,102,1401,0
10359,55458,490006616E,557285,178438,63,E513,0
10360,56127,490006616W,557280,178442,246,E513,0
10362,56616,490003959S,557266,170084,152,HR06,0
10363,58665,490003959N,557254,170115,332,HR06,0
10364,53488,490003497E,557241,183348,48,8G04,0
10365,73092,490003497W,557237,183406,235,8G04,0
1037,53342,490012521E,557224,178587,77,NG02,0
1038,71601,490012521PP,557210,178568,257,NG02,0
1039,51237,490005210SS,557209,178487,265,NG04,0
104,59457,490001108W,557208,180989,243,1007,0
1040,76767,490005423FF,557204,178494,90,NG05,0
1041,77336,490012434HH,557191,188697,351,9A13,0
1042,52990,490012434HK,557186,188835,172,9A13,0
1043,58527,490013739M,557168,189444,13,9D01,0
10439,55159,490007093W1,557144,178446,261,GP05,0
1045,52812,490011849RB,557130,182834,211,C110,0
10458,52726,490008264S,557125,184772,176,DE01,0
10459,76775,490008264N,557124,184824,355,DE01,0
1046,54519,490011849RA,557084,182843,31,C110,0
10460,72310,490008109T,557017,180922,25,P102,0
10462,77778,490013979Q,556998,181129,208,P103,0
10464,71195,490006951N,556976,185526,356,8B13,0
10465,71434,490014468S,556940,185397,129,8B12,0
10468,73028,490015102C,556807,188264,32,YD02,0
10469,77513,490015102D,556763,188189,220,YD02,0
1047,55837,490013485S1,556738,179740,143,4304,0
1048,50694,490013485N,556686,179734,323,4304,0
1049,58644,490000094B,556684,178464,81,NF07,0
1051,73188,490003269N,556638,182506,313,0T05,0
1052,49244,490011716S,556609,182407,126,0T04,0
1054,54965,490006008W,556568,180925,237,0C06,0
1057,71271,490015239K,556560,181539,251,8016,0
10580,48232,490010001S,556541,181651,153,QS08,0
1059,49218,490010149J,556528,179096,315,7901,0
106,76770,490012357W2,556522,176714,269,3P06,0
1061,47857,490010305E,556503,180094,69,7706,0
1062,51009,490000113G,556496,180195,244,7801,0
1063,74899,490006437HE,556464,177655,43,7F15,0
1064,53729,490007055HK,556439,177729,140,7F03,0
1065,74282,490006437HB,556421,177722,228,7F15,0
1067,74955,490003726E,556386,178085,42,7F17,0
1069,48108,490006514N,556372,178261,41,7C03,0
10690,52589,490015411N,556358,165873,273,F707,0
10694,73356,490011165S,556356,162667,186,F421,0
107,49574,490000119M,556355,179818,250,0J05,0
1070,74835,490006514S,556346,178215,221,7C03,0
10705,52614,490015411L,556335,165793,11,F706,0
1071,49984,490010603N,556330,178620,322,7C05,0
10715,75702,490014077E,556324,175069,74,EE11,0
10716,57226,490013537W,556310,175037,253,EE12,0
10717,49819,490012543E,556309,175129,84,EE10,0
10719,75082,490013433S,556284,175146,244,EE09,0
1072,52470,490010603S,556269,178635,142,7C05,0
10720,51040,490013433N,556208,175256,27,EE09,0
10721,49603,490010950W,556202,176098,269,EE19,0
10722,55185,490010950E,556192,176107,89,EE19,0
10723,52503,490006670W,556191,176093,269,ED11,0
10724,56047,490006670E,556158,176101,89,ED11,0
10725,77759,490009597W,556139,176129,274,ED08,0
10726,77451,490009597E,556136,176098,90,ED09,0
10729,75645,490010356W,556133,176489,250,E105,0
1073,76752,490010928E,556125,183104,81,C007,0
1074,49357,490010928W,556117,183107,258,C007,0
1075,56776,490007598N,556110,182245,323,8801,0
1076,54383,490007598S,556106,182322,143,8801,0
1077,71366,490000123B,556100,185246,335,8K08,0
1078,75430,490000123A,556095,185118,185,8K08,0
10794,73705,490015290S,556093,164939,171,HC28,0
10795,56718,490015290N,556081,164915,354,HC28,0
10797,49354,490005575N,556077,164687,31,HE09,0
10798,72199,490004026B,556075,164261,114,HE11,0
10799,55814,490001258A,556073,164290,290,HE11,0
1080,47253,490015396NK,556071,185381,14,CA02,0
10804,54305,490004802S2,556035,163532,176,HE26,0
10806,51493,490004802N,556013,163608,303,HE25,0
10807,74493,490004802S1,555994,163573,119,HE25,0
10808,77760,490005794E,555924,164229,344,HD10,0
1081,77826,490010224S3,555923,185469,126,CA02,0
10811,59436,4.90E+24,555915,165679,333,HC12,0
10813,48143,4.90E+23,555906,165831,335,HC11,0
10814,75479,4.90E+19,555901,165928,155,HC11,0
10816,76006,490011275C,555900,164850,263,H901,0
10817,52173,490011275D,555894,164861,83,H901,0
1082,49943,490019676NB,555891,185470,193,CA11,0
10820,53062,490013603C,555886,162905,207,H403,0
10821,72161,490013603N,555882,162781,27,H403,0
10824,75325,490011259G,555820,161707,227,H511,0
10825,56739,490005236N,555793,161865,48,H513,0
10828,49076,490005574V,555762,164846,358,HC20,0
10829,50432,490005574S,555759,164953,164,HC21,0
1083,58305,490009224Z,555734,185283,137,C702,0
10833,71688,490010864N,555725,192128,346,U502,0
10834,57879,490010864S,555605,192130,167,U502,0
10835,48321,490006564N,555576,191812,353,U501,0
10836,49187,490006564S,555563,191766,177,U501,0
10839,76029,490010323H,555561,164970,285,JC08,0
1084,49908,490009224Y,555545,185230,319,C702,0
10840,49495,490010323J,555533,164918,142,JC08,0
10852,47321,490010753W,555530,190781,297,9712,0
10856,75436,490003236W,555526,182238,276,Q403,0
10860,76955,490012359S,555522,187935,147,9109,0
10864,48609,490007797N,555521,190703,346,9705,0
10866,47410,490007797S,555506,190702,166,9705,0
10868,74928,490004746S,555491,190905,162,9706,0
1087,71108,490000052SB,555461,174295,85,5912,0
10871,50921,490003925S,555461,191645,193,U601,0
10872,57424,490003875N,555455,191728,9,U601,0
10875,48450,490010333W,555448,191963,182,U602,0
10878,71522,490004486J,555417,192377,2,U604,0
10879,51198,490004486K,555403,192396,182,U604,0
1088,72201,490000052SA,555330,174281,265,5912,0
10880,53256,490010736G,555314,192606,6,U605,0
10881,47221,490009248C,555297,192821,26,U606,0
10883,75172,490006974A,555263,192966,19,U607,0
10885,71425,490006974Z,555252,193067,199,U607,0
10888,55929,490011855N,555199,193381,62,U701,0
10889,54829,490004196S,555199,193285,212,U608,0
1089,77905,490010776W,555199,175050,329,4J08,0
10890,77107,490009764N,555193,193486,43,U702,0
10893,73261,490009764S,555188,193506,226,U702,0
109,54653,490000119P,555182,179804,252,0J05,0
10900,58337,490012612C,555179,194173,32,U705,0
10901,77062,490000027B,555164,178756,119,N909,0
10905,73276,490007438S2,555162,194766,29,UR01,0
10906,77534,490007438S1,555161,194688,222,UR01,0
10910,54424,490012220W,555157,194733,277,UR02,0
10911,47899,490012220N,555152,194744,92,UR02,0
10913,48192,490005549N,555109,195151,7,UR04,0
10914,55466,490005549S,555103,195058,191,UR04,0
10919,54532,490004650N,555101,195683,322,UR06,0
10920,48796,490004650S,555096,195664,146,UR06,0
10921,58127,490010760N,555093,195952,31,US08,0
10922,48464,490010760S,555081,195903,210,US08,0
10925,57907,490004904Y,555076,196301,352,US09,0
10926,71466,490009169S,555068,196217,172,US09,0
10927,73979,490006588R,555056,196510,166,US05,0
10928,71168,490006587D,555054,196565,92,US07,0
10942,56465,490013736N,555048,189713,5,9D02,0
10944,57427,490013739N,555041,189438,192,9D01,0
10948,49881,490014853E,555016,190570,63,9703,0
1095,54273,490005320W,555009,181772,316,0P06,0
10951,58611,490014853W,555007,190534,243,9703,0
10952,51168,490010954E,554995,190686,80,9806,0
10953,71327,490010954W,554975,190636,245,9807,0
10954,48516,490007201E,554970,190573,117,9804,0
10955,72923,490010036W,554959,190625,298,9805,0
10957,52472,490007201W,554901,190523,282,9803,0
10958,47653,490014410E,554899,190543,94,9802,0
1096,56406,490005320E,554893,181783,136,0P06,0
10960,76270,490013539W,554870,190512,272,9801,0
10961,47555,490013539E,554869,190532,93,9801,0
10962,77637,490014177E,554855,190519,90,9C06,0
10963,73325,490014177W,554836,190507,269,9C06,0
10966,59483,490003521E,554818,190539,83,9C05,0
10967,53573,490003521W1,554806,190518,264,9C05,0
10968,55537,490010091E,554804,190579,85,9C03,0
10969,48951,490010091W,554801,190545,256,9C04,0
10972,71335,490004520W,554782,190596,257,9C02,0
10973,47712,490004520M,554776,190563,142,9C01,0
10974,48872,490013233N,554767,190344,140,9D12,0
10975,57437,490013853L,554746,190408,321,9D12,0
10978,56851,490001040O,554742,190175,141,9D11,0
10979,47838,490001040K,554736,190204,321,9D11,0
1098,76060,490010561W,554724,183711,259,BD09,0
1099,53591,490010561E,554716,183718,80,BD09,0
110,55572,490009117T,554702,173609,273,2L06,0
1100,48132,490000028C,554683,191581,13,9614,0
1101,74696,490000028D,554679,191524,193,9614,0
1103,75945,490013170S,554678,182326,144,8401,0
1104,56086,490010861T,554676,176951,25,6J04,0
1105,77928,490010861V,554675,176870,235,6J04,0
1106,71721,4.90E+10,554668,176518,32,6H09,0
1107,50175,490010123W2,554645,176491,216,6H09,0
1108,50075,490011491N,554623,175181,35,3Q03,0
1109,72686,490011491S,554615,175073,212,3Q03,0
11093,72123,490004267E,554614,190561,123,PL01,0
11094,73783,490007784S,554604,190399,209,PL13,0
11097,74068,490012137E,554598,191541,65,PK03,0
11098,48567,490012137W,554574,191513,245,PK03,0
1111,73082,490009859S,554561,184236,183,D403,0
11116,48485,490010141E,554551,189323,74,9305,0
11118,76368,490013557N,554535,189692,15,VK01,0
11119,50087,490013557S,554502,189641,186,VK01,0
11121,77784,490003975L,554477,175249,259,EC06,0
11126,53998,490012130W,554473,184210,233,AG10,0
11127,54505,490013628S,554462,165793,193,K903,0
11128,77520,490013628N,554460,165838,13,K902,0
1113,51563,490012019V,554447,185368,182,D602,0
11133,55435,490014376C,554437,185728,201,RQ01,0
11134,75070,490014375G,554424,185896,25,RQ02,0
11135,75203,490014469E,554420,188696,68,R105,0
11136,76333,490014469W,554416,188702,243,R105,0
11137,49026,490011828E,554399,175765,107,5S06,0
11138,59264,490011828W,554397,175748,277,5S06,0
11139,58460,490006825E,554395,175863,110,5R01,0
1114,53056,4.90E+09,554362,184772,92,D308,0
11140,54324,490006825W,554289,175832,290,5R01,0
11141,48797,490012375E,554279,175874,88,5R02,0
11142,53354,490012375W,554263,175867,265,5R02,0
11143,56061,490011286M,554256,175451,24,5S03,0
11144,52714,490011286L,554255,175258,198,5S03,0
11145,48259,490012055N,554252,180122,346,7A05,0
11146,47980,490012055S,554248,180205,170,7A05,0
11148,53044,490000086B,554235,178805,158,7B03,0
11149,76336,490010728N,554225,179622,357,7A10,0
1115,76984,490010160W,554223,184764,275,D308,0
11150,52348,490010728S,554215,179612,177,7A10,0
11151,50750,490012545E,554207,178774,75,7C07,0
11152,73670,490012545W,554127,178769,258,7C07,0
11154,56886,490015421E,554124,178445,44,7C04,0
11155,48050,490005062HF,554117,177810,50,7F16,0
11156,48434,490008380HD,554095,177482,30,7F14,0
1116,47134,490001273C,554086,186860,179,DA05,0
11160,58457,490011479S,554082,178043,146,7F02,0
11162,57315,490015228L,554076,178358,153,7F01,0
11164,50963,490000064A,554075,178555,137,7908,0
11165,73405,490011943N,554073,179007,337,7905,0
11166,71125,490011943S,554070,179045,160,7905,0
11169,72685,490015071E,554055,178473,67,7F12,0
1117,75992,490010141W,554031,189320,259,9305,0
11170,51483,490015071W,554031,178478,244,7F12,0
11171,73035,490004138E,554029,178386,61,7F10,0
11175,72303,490004437W,554029,179202,225,7002,0
11178,58397,490004436C,554021,179063,67,7001,0
11179,77289,490004436F,554015,179077,243,7001,0
11184,47455,490010779E,554009,178872,82,7B05,0
11187,53896,490013096W,553989,178850,273,7B05,0
11195,50258,490003106W,553988,179152,239,7902,0
11196,52909,490008286N,553979,179285,319,7704,0
11197,47592,490009406N,553979,179643,319,7702,0
11205,72366,490013444S,553978,192232,140,SD13,0
11207,49149,490003210S,553977,189816,120,9605,0
11208,75104,490003198S,553972,189966,226,9603,0
11210,74301,490003199S,553966,189902,273,9604,0
11211,77710,490003210N,553961,189819,317,9605,0
11212,72468,490003196W,553959,190242,74,9601,0
11213,49393,490003198N,553958,190157,50,9603,0
11215,52093,490003199E,553957,189931,90,9604,0
11216,75655,490003196E,553956,190239,258,9601,0
11220,49282,490011822E,553952,179697,89,404,0
11221,73840,490011822W,553945,179679,276,404,0
11222,74344,490011198E,553944,179702,88,403,0
11223,50728,490011198W,553943,179684,273,403,0
11224,74330,4.90E+09,553942,179632,92,7A09,0
11226,53438,490005069E,553940,177247,77,7F13,0
11227,54387,490005069W,553937,177232,256,6.00E+11,0
11230,55146,490011385E,553937,176796,50,6J03,0
11231,77462,490011385W,553935,176738,229,6J03,0
11232,55119,490007054E,553933,176296,47,6H08,0
11233,72537,490007054W,553918,176313,225,6H08,0
11234,71723,490010117E,553914,177728,56,6D02,0
11235,47512,490010358W,553907,177832,250,6D03,0
11239,49567,490013676W,553904,177578,238,6G06,0
11240,53586,490007050E,553892,177488,73,6G05,0
11242,50843,490007050W,553888,177505,298,6G04,0
11243,47725,490012117E,553876,177233,111,6J05,0
11244,56521,490012117W,553863,177244,284,6J05,0
11245,54692,490013548E,553862,177284,100,6G08,0
11246,53855,490013548W,553859,177300,284,6G08,0
11247,58762,490007754E,553857,177365,99,6G10,0
11248,54099,490007754W,553853,177361,279,6G10,0
11249,74163,490007050S,553852,177421,153,6G11,0
11251,76857,490009156V,553850,177745,334,6D01,0
11252,77170,490009156X,553836,177886,166,6D01,0
11253,49612,490014485N,553826,178088,336,6B02,0
11254,54809,490014485S,553815,178095,156,6B02,0
11255,51668,490000265B,553813,178299,339,6B01,0
11256,76285,490000265A,553801,178372,164,6B01,0
11258,76311,490009492S,553797,178602,150,6A03,0
11259,55041,490009492N,553797,178676,312,6A03,0
11262,54650,490007709S,553787,178794,137,6A02,0
11263,72837,490011788N,553780,177054,45,6.00E+08,0
11264,54955,490011788W,553758,177065,225,6.00E+08,0
11265,56899,490014186I,553749,176715,45,6.00E+02,0
11266,73988,490014186W,553740,176760,226,6.00E+02,0
11267,50522,490005189E,553728,176553,48,6.00E+01,0
11268,54445,490005156W,553724,176493,226,6.00E+01,0
11269,53001,490015575X,553724,176415,82,6J01,0
11271,50792,490015393Z,553721,176304,63,6J02,0
11272,50014,490015393Y,553717,176290,243,6J02,0
11276,47030,490010225N,553713,176740,344,6.00E+03,0
11277,52700,490010225S,553710,176724,164,6.00E+03,0
11279,54299,490010474S,553701,176112,171,6F02,0
11283,72823,490011763E,553699,178274,43,0G11,0
11286,50827,490010156N,553686,178025,44,7.00E+08,0
11287,49263,490010156S,553685,177997,228,7.00E+08,0
11288,58367,490003152E,553664,177613,72,7.00E+06,0
11289,56193,490003152W,553662,177642,266,7.00E+06,0
1129,74537,490012367W,553660,179133,299,3G05,0
11290,54811,490003682W,553643,177515,249,7G02,0
11291,47903,490006224KP,553640,178484,47,7.00E+02,0
11292,49861,490009666KB,553637,178270,236,7.00E+03,0
11293,56178,490005073KC,553626,178142,234,7.00E+04,0
11294,58984,490008763KF,553621,177996,55,7.00E+05,0
11295,54349,490004809KD,553596,177972,236,7.00E+05,0
11296,49302,490005076E,553588,177517,56,7G04,0
11297,58700,490005076W,553582,177495,241,7G06,0
11298,77605,490005152N,553568,177538,326,7G11,0
113,57115,490012082A,553541,184547,13,8A03,0
1130,54690,490012367E,553525,179074,146,3G04,0
11300,53455,490005152S,553523,177557,146,7G11,0
11306,59523,490015421S,553512,178405,223,7C04,0
11307,75118,490005062HA,553503,177836,231,7F16,0
11309,49072,490008380HC,553457,177506,215,7F14,0
11311,49866,490015066S,553455,177500,146,7G03,0
11312,49871,490011754N,553453,178330,337,7C08,0
11313,54272,490011754S1,553441,178362,157,7C08,0
11321,75086,490003269S,553435,182556,136,0T05,0
11325,54442,490006876N,553435,177783,37,7.00E+07,0
11326,50261,490006876S,553429,177772,217,7.00E+07,0
11328,56073,490014333N,553421,186491,297,CH18,0
11329,52741,490014846E,553414,189264,149,XJ02,0
11330,55614,490014846N,553407,189359,329,XJ02,0
11331,71845,490007943S,553406,166409,197,FG08,0
11332,54850,490007943N,553404,166365,24,FG08,0
11333,58054,490003060E,553401,179011,67,NG15,0
11334,76014,490003060W,553392,178990,250,NG15,0
11337,52454,490000240LL,553385,178892,68,Q603,0
11338,52590,490000240MM,553366,178873,250,Q603,0
11339,57204,490006872E,553357,179207,72,NG14,0
11340,76590,490006872W,553356,179203,252,NG14,0
11345,77869,490013487E,553323,178860,72,Q602,0
11346,58507,490011405W,553314,178814,279,Q602,0
11349,48224,490003076W,553300,178891,257,Q601,0
1135,48269,490012617E,553297,194602,236,Y102,0
11350,55403,490008949N,553297,166598,348,K803,0
11351,53557,490008949S,553295,166558,169,K803,0
11352,47413,490011783W,553281,189132,211,PQ05,0
11356,58317,490012580N,553278,165823,32,JC11,0
11357,54233,490013608S,553277,166772,217,JB03,0
11363,75292,490016573N,553267,183337,316,8510,0
11366,55409,490016573S,553266,183384,128,8510,0
11367,74157,490012870W,553258,183401,303,8509,0
11371,76894,490012869S,553254,183485,129,8509,0
11373,52722,490011756E,553249,183494,76,8M13,0
11379,50357,490015382N2,553247,183852,332,8M16,0
11383,49479,490011419H,553244,184128,330,8H21,0
11385,75500,490001045E,553241,184268,330,8H20,0
11389,76641,490008663W,553231,184484,333,8H24,0
11391,74611,490004894L,553223,184962,9,8K07,0
11392,54960,490007082K,553218,184895,188,8K07,0
11393,75574,490006943N,553195,185418,319,8K09,0
11394,48540,490006943E,553193,185323,146,8K09,0
11395,52601,490008660N,553188,185513,316,8K10,0
11396,54277,490008660S,553181,185482,130,8K10,0
11399,77384,490015367S,553179,185677,148,8K11,0
114,77632,490012082B,553174,184489,197,8A03,0
11400,58674,490007308N,553171,185765,326,8F05,0
11401,53739,490005974S,553167,185899,148,8F04,0
11404,73333,490014902N,553161,186057,323,8F03,0
11405,54186,490014697S,553161,186131,152,8F03,0
11406,47963,490010852N,553160,186314,335,8F02,0
11407,76289,490010852S2,553150,186302,155,8F01,0
11408,54956,490008661N,553147,185475,14,8K13,0
11409,54771,490008662G,553141,185374,184,8K13,0
11412,77950,490008904N1,553134,185650,24,8K12,0
11413,50498,490008904S1,553133,185623,204,8K12,0
11416,58254,490009985N,553132,186172,7,CF13,0
11417,74870,490009985S,553123,186185,187,CF13,0
11419,47361,490003989Z,553120,186441,197,CF10,0
1142,49727,490014875C,553108,188269,357,9116,0
11420,51129,490003989Y,553090,186436,17,CF10,0
11427,74332,490006798CK,553075,184442,354,8H25,0
11428,59276,490006798CL,553066,184408,174,8H25,0
1143,54348,490014875D,553066,188262,176,9116,0
11431,56069,490011200N,553065,184581,313,8J11,0
11432,71588,490012765S,553064,184678,156,8J07,0
11435,49981,490011330N,553060,184910,335,8J08,0
11436,75802,490011330S,553058,185109,135,8J09,0
11437,50748,490012651S,553052,185254,156,8J10,0
11439,72943,490009616N,553044,185325,338,8J10,0
1144,47076,490015188C,553040,189610,119,9501,0
11440,49724,490009204E,553036,185459,120,8D13,0
11442,76313,490009017N,553034,185412,295,8D12,0
11443,47056,490011760W,553032,185500,304,8D15,0
11444,55391,490012280B,553031,185528,74,8D10,0
11446,57090,490015246N,553018,184716,94,8K20,0
11449,48899,490001165C,552990,184665,65,8J05,0
1145,48162,490015186B,552970,189721,154,9502,0
11457,71148,490013033N,552967,166435,294,K907,0
11458,51578,490013033S,552967,166448,114,K907,0
1146,71060,490015186A,552964,189745,339,9502,0
11461,48470,490013032S,552959,167123,171,K806,0
11462,50616,490013032N,552951,167101,351,K806,0
11464,75957,490013038N,552898,167470,355,K805,0
11465,76430,490007672S,552864,181362,169,QR05,0
11466,50543,490007672N,552852,181333,350,QR05,0
11469,48600,490008143C,552842,184753,73,C905,0
1147,75920,490015187F,552839,189630,44,9505,0
11470,47466,490008143D,552837,184732,263,C905,0
11471,48448,490005754E,552836,178443,100,7F11,0
11472,71655,490005754W,552827,178438,276,7F11,0
11476,75323,490010187K,552827,178697,146,7907,0
1148,53347,490015187E,552814,189617,224,9505,0
11481,55024,490007547S,552811,188606,158,YB02,0
11482,49269,490012943N,552810,187927,333,YA04,0
11487,56307,490009233W,552809,189812,246,Y907,0
11490,91570,490007017E,552802,181277,149,Q306,0
11491,76168,490004789E,552801,181031,119,Q019,0
11492,74571,490007170W,552799,180913,285,Q022,0
11495,75393,490010949W,552787,181037,306,Q019,0
11497,47256,490007017F,552784,181291,332,Q306,0
115,54572,490006691W,552784,179673,264,402,0
1150,57284,490011097N,552783,179127,349,7301,0
11500,55002,490015320Q,552774,181606,159,Q417,0
11501,50661,490011937N,552765,180674,330,Q017,0
11502,77670,490012942N,552753,180389,348,Q016,0
11503,76002,490003456N,552746,180140,348,Q015,0
11506,74798,490012067E,552738,180724,65,Q011,0
11507,56428,490008744X,552713,180753,260,Q012,0
1151,55136,490011097S,552712,179246,169,7301,0
11510,51256,490012016N,552695,180551,32,Q010,0
11511,74194,490012016S,552686,180571,220,Q010,0
11514,48163,490015431N,552661,180131,349,Q009,0
11515,73020,490015431S,552629,180115,169,Q009,0
11517,49491,490015285S,552629,181968,137,0T01,0
11518,74291,490007679R,552624,182672,139,0U02,0
11519,74930,490004805S2,552615,183135,143,0U04,0
1152,73195,490010200C,552608,181046,285,1.00E+02,0
11522,59354,490005085N,552606,180888,19,7810,0
11523,76600,490005085S,552603,180863,196,7810,0
11527,72540,490005513E,552576,181023,78,7813,0
11528,51488,490005513W,552570,180998,242,7813,0
11531,74175,490012550N,552567,180771,306,7605,0
11532,57335,490012550S,552567,180738,125,7605,0
11533,57751,490006476N,552565,181030,336,7603,0
11534,71169,490003399S,552561,180965,158,7606,0
11535,55577,490004099N,552561,181059,335,7604,0
11537,47977,490011158E,552557,181374,67,7601,0
11538,73723,490011158W,552555,181379,248,7601,0
11539,49504,4.90E+09,552554,181268,68,7602,0
11540,77913,490011137W,552548,181300,247,7602,0
11541,76592,490005139D,552542,181613,338,7402,0
11542,72907,490005139C,552529,181605,158,7402,0
11543,54629,490008898F,552522,181784,340,7403,0
11544,59456,490008898E,552519,181789,160,7403,0
11545,56560,490003619M,552516,182014,340,7413,0
11546,73166,490003619N,552512,182026,160,7413,0
11547,55036,490004737R,552503,182246,338,7414,0
11548,48169,490004737S,552502,182241,158,7414,0
11550,55448,490004702L,552472,181398,249,7405,0
11551,71296,490004699S,552468,181366,135,7406,0
11552,52932,490004699N,552462,181375,315,7406,0
11553,52593,490012646S,552460,181573,159,7407,0
1156,47844,490001067R,552452,181434,296,1C02,0
11561,58160,490004798S,552439,183272,142,0U05,0
11564,76570,490011962E,552434,181523,53,6206,0
11566,47083,490014869E,552425,181260,74,6207,0
11567,58991,490014869W,552421,181236,256,6207,0
11568,52243,490007707E,552412,181181,80,6101,0
11569,48058,490007707F,552397,181170,259,6101,0
1157,75771,490001067Q,552394,181479,115,1C02,0
11572,50776,490014971D,552380,181104,84,6102,0
11573,59326,490014971G,552373,181082,264,6102,0
11576,76957,490000065C,552370,181055,83,6103,0
11577,53503,490000065H,552369,181038,263,6103,0
11582,48971,490014578E,552368,181025,81,6208,0
11583,58739,490009005V,552352,180935,270,6107,0
11587,59295,490015227S,552319,180628,155,Q017,0
11589,51467,490012678S,552306,180428,168,Q016,0
11590,58033,490013972S,552297,180171,168,Q015,0
11598,52346,490004444S,552294,182802,207,0U06,0
116,75588,490014433N,552287,185288,280,8B05,0
1160,55627,490000149B,552276,181699,17,1D05,0
11601,54009,490008768N,552271,184860,326,R502,0
11607,56546,490006806H,552267,183044,280,RC17,0
11609,75672,490000186A,552258,183119,8,RC01,0
11615,53042,490012622S,552249,183095,155,RD06,0
11616,74994,490014619S,552245,183455,149,RD04,0
11617,49005,490010521N,552243,183575,322,RD14,0
11618,53090,490010521S,552235,183566,142,RD14,0
11621,75675,490003256N,552233,183949,339,RB05,0
